RedRatio,dA,dB,dC,Fatigue
825,0.07,0.02,0.04,232
610,0.11,0,0.04,235
1270,0.07,0.02,0,235
1740,0.06,0,0,241
825,0.04,0.02,0,225
825,0.06,0.02,0.02,245
1270,0.08,0.01,0,255
1740,0.07,0,0,245
610,0.08,0,0.04,275
1270,0.04,0.03,0,239
1740,0.11,0,0,255
825,0.05,0.03,0,397
1270,0.07,0.02,0,419
1740,0.08,0,0,401
610,0.07,0,0.03,394
825,0.08,0,0,426
610,0.06,0.01,0.01,426
1270,0.08,0.02,0,454
1740,0.06,0,0,418
1270,0.13,0.01,0,416
825,0.07,0.04,0,395
1740,0.1,0,0,433
610,0.06,0.05,0.03,379
825,0.05,0.03,0,382
1270,0.07,0.02,0,385
1740,0.08,0,0,365
610,0.07,0,0.03,379
825,0.08,0,0,377
610,0.06,0.01,0.01,394
1270,0.08,0.02,0,425
1740,0.06,0,0,395
1270,0.13,0.01,0,393
825,0.07,0.04,0,375
1740,0.1,0,0,389
610,0.06,0.05,0.03,358
825,0.05,0.03,0,344
1270,0.07,0.02,0,369
1740,0.08,0,0,325
610,0.07,0,0.03,338
825,0.08,0,0,362
610,0.06,0.01,0.01,361
1270,0.08,0.02,0,385
1740,0.06,0,0,348
1270,0.13,0.01,0,368
825,0.07,0.04,0,341
1740,0.1,0,0,365
610,0.06,0.05,0.03,325
1740,0.07,0,0,513
1270,0.12,0.01,0,448
610,0.06,0,0.01,465
825,0.1,0.03,0.01,446
825,0.11,0.04,0,437
1740,0.08,0,0,502
610,0.04,0,0.03,465
1740,0.06,0,0,475
1270,0.13,0.01,0,504
610,0.09,0,0.04,486
1270,0.04,0.01,0,452
1740,0.07,0,0,459
1270,0.12,0.01,0,415
610,0.06,0,0.01,437
825,0.1,0.03,0.01,415
825,0.11,0.04,0,401
1740,0.08,0,0,463
610,0.04,0,0.03,442
1740,0.06,0,0,438
1270,0.13,0.01,0,468
610,0.09,0,0.04,452
1270,0.04,0.01,0,422
1740,0.07,0,0,413
1270,0.12,0.01,0,395
610,0.06,0,0.01,398
825,0.1,0.03,0.01,378
825,0.11,0.04,0,372
1740,0.08,0,0,415
610,0.04,0,0.03,396
1740,0.06,0,0,388
1270,0.13,0.01,0,415
610,0.09,0,0.04,398
1270,0.04,0.01,0,382
1740,0.07,0,0,523
1270,0.08,0.01,0,534
825,0.12,0.02,0,489
660,0.06,0,0,500
825,0.1,0,0,495
1740,0.08,0,0,522
1270,0.09,0,0,531
1270,0.1,0.01,0,533
610,0.06,0,0.04,492
1740,0.09,0,0,505
610,0.08,0,0.04,541
1740,0.07,0,0,468
1270,0.08,0.01,0,459
825,0.12,0.02,0,444
660,0.06,0,0,458
825,0.1,0,0,445
1740,0.08,0,0,464
1270,0.09,0,0,466
1270,0.1,0.01,0,486
610,0.06,0,0.04,461
1740,0.09,0,0,464
610,0.08,0,0.04,475
1740,0.07,0,0,419
1270,0.08,0.01,0,418
825,0.12,0.02,0,402
660,0.06,0,0,398
825,0.1,0,0,411
1740,0.08,0,0,428
1270,0.09,0,0,415
1270,0.1,0.01,0,425
610,0.06,0,0.04,412
1740,0.09,0,0,410
610,0.08,0,0.04,415
1740,0.03,0,0,582
820,0.01,0,0.01,524
1120,0.02,0,0.03,583
1740,0.03,0,0.01,569
820,0.01,0.01,0.01,536
1120,0.01,0,0.01,577
820,0.03,0,0.02,565
1120,0.02,0,0.01,562
1740,0.03,0,0,522
820,0.01,0,0.01,504
1120,0.02,0,0.03,516
1740,0.03,0,0.01,517
820,0.01,0.01,0.01,511
1120,0.01,0,0.01,518
820,0.03,0,0.02,524
1120,0.02,0,0.01,503
1740,0.03,0,0,483
820,0.01,0,0.01,457
1120,0.02,0,0.03,482
1740,0.03,0,0.01,470
820,0.01,0.01,0.01,459
1120,0.01,0,0.01,490
820,0.03,0,0.02,485
1120,0.02,0,0.01,483
820,0.08,0,0.01,587
1250,0,0,0.02,571
1120,0,0,0.01,578
530,0.02,0,0,526
500,0.08,0,0.01,535
740,0.02,0,0.01,572
530,0.01,0.01,0,562
1120,0.03,0,0.01,563
1740,0.05,0,0,583
640,0.03,0,0,585
820,0.1,0,0,592
500,0.05,0,0.02,573
1120,0.03,0,0.02,536
500,0.08,0,0,557
820,0.08,0,0.01,552
1250,0,0,0.02,519
1120,0,0,0.01,524
530,0.02,0,0,508
500,0.08,0,0.01,490
740,0.02,0,0.01,550
530,0.01,0.01,0,515
1120,0.03,0,0.01,530
1740,0.05,0,0,546
640,0.03,0,0,535
820,0.1,0,0,550
500,0.05,0,0.02,542
1120,0.03,0,0.02,592
500,0.08,0,0,524
820,0.08,0,0.01,497
1250,0,0,0.02,491
1120,0,0,0.01,463
530,0.02,0,0,464
500,0.08,0,0.01,459
740,0.02,0,0.01,489
530,0.01,0.01,0,477
1120,0.03,0,0.01,469
1740,0.05,0,0,496
640,0.03,0,0,467
820,0.1,0,0,511
500,0.05,0,0.02,490
1120,0.03,0,0.02,523
500,0.08,0,0,476
530,0.03,0,0,610
500,0.08,0,0.01,581
1740,0.06,0,0,625
610,0.05,0,0.01,562
510,0.04,0,0.01,635
700,0.03,0,0,566
1120,0.02,0,0.01,638
1740,0.06,0,0.01,606
500,0.09,0.01,0.01,582
820,0.04,0,0.01,634
500,0.1,0,0,585
700,0.07,0.01,0,603
820,0.02,0,0.02,625
510,0.04,0,0.03,631
1740,0.04,0,0,625
530,0.03,0,0,551
500,0.08,0,0.01,539
1740,0.06,0,0,564
610,0.05,0,0.01,550
510,0.04,0,0.01,590
700,0.03,0,0,527
1120,0.02,0,0.01,557
1740,0.06,0,0.01,551
500,0.09,0.01,0.01,583
820,0.04,0,0.01,570
500,0.1,0,0,543
700,0.07,0.01,0,543
820,0.02,0,0.02,563
510,0.04,0,0.03,577
1740,0.04,0,0,578
530,0.03,0,0,490
500,0.08,0,0.01,496
1740,0.06,0,0,511
610,0.05,0,0.01,494
510,0.04,0,0.01,517
700,0.03,0,0,480
1120,0.02,0,0.01,502
1740,0.06,0,0.01,504
500,0.09,0.01,0.01,505
820,0.04,0,0.01,502
500,0.1,0,0,496
700,0.07,0.01,0,501
820,0.02,0,0.02,517
510,0.04,0,0.03,523
1740,0.04,0,0,516
480,0.01,0,0.01,486
610,0.03,0,0.01,427
1740,0.06,0,0.01,510
530,0.02,0,0.01,451
610,0.02,0.01,0.02,425
480,0.02,0,0,432
1740,0.06,0,0.01,482
480,0.01,0,0.01,435
610,0.03,0,0.01,406
1740,0.06,0,0.01,470
530,0.02,0,0.01,438
610,0.02,0.01,0.02,404
480,0.02,0,0,406
1740,0.06,0,0.01,443
480,0.01,0,0.01,397
610,0.03,0,0.01,385
1740,0.06,0,0.01,425
530,0.02,0,0.01,396
610,0.02,0.01,0.02,380
480,0.02,0,0,363
1740,0.06,0,0.01,398
820,0.03,0,0,505
1100,0.03,0,0,536
480,0.02,0,0,484
480,0.02,0,0,495
1510,0,0,0.03,551
740,0.02,0,0.01,477
1100,0.04,0,0,530
1510,0,0,0.02,516
820,0.02,0,0.01,445
1100,0.03,0,0,551
1740,0.07,0,0,510
480,0.02,0,0,443
820,0.03,0,0,449
1100,0.03,0,0,502
480,0.02,0,0,451
480,0.02,0,0,459
1510,0,0,0.03,497
740,0.02,0,0.01,451
1100,0.04,0,0,497
1510,0,0,0.02,461
820,0.02,0,0.01,399
1100,0.03,0,0,502
1740,0.07,0,0,490
480,0.02,0,0,424
820,0.03,0,0,411
1100,0.03,0,0,448
480,0.02,0,0,404
480,0.02,0,0,411
1510,0,0,0.03,438
740,0.02,0,0.01,410
1100,0.04,0,0,450
1510,0,0,0.02,410
820,0.02,0,0.01,383
1100,0.03,0,0,460
1740,0.07,0,0,442
480,0.02,0,0,399
610,0,0,0.01,563
700,0.01,0.01,0.03,530
420,0,0,0.02,570
420,0,0,0.02,578
700,0.01,0,0.01,537
820,0.01,0,0.01,569
420,0.02,0,0.02,576
700,0.01,0,0.01,549
820,0.01,0,0.01,522
1740,0.03,0,0,570
610,0,0,0.01,510
700,0.01,0.01,0.03,510
420,0,0,0.02,517
420,0,0,0.02,540
700,0.01,0,0.01,518
820,0.01,0,0.01,523
420,0.02,0,0.02,537
700,0.01,0,0.01,536
820,0.01,0,0.01,503
1740,0.03,0,0,540
610,0,0,0.01,490
700,0.01,0.01,0.03,477
420,0,0,0.02,483
420,0,0,0.02,503
700,0.01,0,0.01,471
820,0.01,0,0.01,476
420,0.02,0,0.02,502
700,0.01,0,0.01,496
820,0.01,0,0.01,471
1740,0.03,0,0,497
640,0.01,0,0,591
740,0.05,0,0.01,590
420,0.03,0,0.01,606
590,0.07,0,0.01,584
5530,0.08,0,0.01,604
1290,0.06,0,0,591
640,0.02,0.01,0.01,588
590,0.06,0.01,0,588
820,0.04,0,0,550
640,0.03,0,0,609
820,0.04,0.01,0.01,604
420,0.03,0,0,619
420,0.07,0,0.01,643
590,0.07,0,0,569
640,0.01,0,0,551
740,0.05,0,0.01,543
420,0.03,0,0.01,543
590,0.07,0,0.01,524
5530,0.08,0,0.01,571
1290,0.06,0,0,542
640,0.02,0.01,0.01,531
590,0.06,0.01,0,531
820,0.04,0,0,512
640,0.03,0,0,563
820,0.04,0.01,0.01,550
420,0.03,0,0,583
420,0.07,0,0.01,583
590,0.07,0,0,550
640,0.01,0,0,482
740,0.05,0,0.01,482
420,0.03,0,0.01,490
590,0.07,0,0.01,476
5530,0.08,0,0.01,483
1290,0.06,0,0,480
640,0.02,0.01,0.01,491
590,0.06,0.01,0,471
820,0.04,0,0,469
640,0.03,0,0,490
820,0.04,0.01,0.01,483
420,0.03,0,0,498
420,0.07,0,0.01,491
590,0.07,0,0,463
740,0.03,0,0.01,600
640,0.02,0,0,615
820,0.02,0,0.02,607
640,0.01,0,0,596
640,0.03,0,0,618
820,0.06,0,0.01,585
740,0.03,0,0.01,551
640,0.02,0,0,556
820,0.02,0,0.02,550
640,0.01,0,0,537
640,0.03,0,0,543
820,0.06,0,0.01,543
740,0.03,0,0.01,471
640,0.02,0,0,476
820,0.02,0,0.02,482
640,0.01,0,0,477
640,0.03,0,0,491
820,0.06,0,0.01,479
721,0.017,0,0.021,781
1228,0.04,0,0,698
1455,0.07,0,0.01,906
721,0.017,0,0.021,740
1228,0.04,0,0,678
1455,0.07,0,0.01,770
622,0.067,0,0.012,794
289,0.05,0,0,855
796,0.058,0,0.004,768
622,0.067,0,0.012,745
289,0.05,0,0,707
796,0.058,0,0.004,718
925,0.03,0,0,874
1455,0.02,0.01,0.01,829
622,0.05,0,0.058,700
925,0.03,0,0,806
1455,0.02,0.01,0.01,720
622,0.05,0,0.058,688
440,0.008,0,0,1034
860,0.07,0.01,0,1139
440,0.017,0,0.008,1002
440,0.008,0,0,1056
860,0.07,0.01,0,1124
440,0.017,0,0.008,1082
440,0.008,0,0,1054
860,0.07,0.01,0,1190
440,0.017,0,0.008,935
440,0.008,0,0,1037
860,0.07,0.01,0,1110
440,0.017,0,0.008,1035
390,0.046,0,0,927
440,0.013,0,0,976
690,0.06,0,0,986
390,0.046,0,0,956
440,0.013,0,0,946
690,0.06,0,0,1089
390,0.046,0,0,960
440,0.013,0,0,1033
690,0.06,0,0,1080
390,0.046,0,0,924
440,0.013,0,0,1009
690,0.06,0,0,1053
460,0.025,0,0.004,854
690,0.07,0,0.01,1086
390,0.025,0.004,0,889
460,0.025,0,0.004,884
690,0.07,0,0.01,1057
390,0.025,0.004,0,900
460,0.025,0,0.004,876
690,0.07,0,0.01,1068
390,0.025,0.004,0,838
460,0.025,0,0.004,873
690,0.07,0,0.01,1120
390,0.025,0.004,0,898
690,0.08,0,0,1074
240,0.05,0.01,0,1006
530,0.017,0.004,0.008,858
690,0.08,0,0,1144
240,0.05,0.01,0,1028
530,0.017,0.004,0.008,948
690,0.08,0,0,1080
240,0.05,0.01,0,1030
530,0.017,0.004,0.008,957
690,0.08,0,0,1104
240,0.05,0.01,0,1008
530,0.017,0.004,0.008,882
