THT,THQCr,Dt,QmT,Si,Mn,P,S,Ni,Cu,Mo,NT,CT,Cr,C,Fatigue
845,8,0,30,0.25,1.34,0.017,0.015,0.02,0.02,0,870,30,0.13,0.4,510
845,8,0,30,0.26,1.46,0.012,0.017,0.02,0.02,0,870,30,0.19,0.43,510
845,8,0,30,0.3,0.49,0.008,0.006,2.66,0.09,0,900,30,0.82,0.32,510
845,8,0,30,0.24,0.58,0.009,0.01,2.65,0.06,0,900,30,0.71,0.32,510
855,8,0,30,0.25,0.73,0.011,0.005,0.06,0.11,0,870,30,0.98,0.39,511
855,8,0,30,0.25,0.7,0.026,0.018,0.01,0.02,0.16,870,30,1,0.35,511
855,8,0,30,0.26,0.74,0.019,0.012,0.02,0.02,0.22,870,30,1.07,0.43,511
845,8,0,30,0.29,0.74,0.013,0.01,1.84,0.12,0.22,870,30,0.74,0.41,512
845,24,0,30,0.25,0.79,0.018,0.016,0.02,0.02,0,845,30,0.13,0.45,513
855,8,0,30,0.23,0.82,0.012,0.017,0.04,0.05,0.16,870,30,1.09,0.37,515
855,8,0,30,0.31,0.78,0.012,0.01,0.07,0.13,0,870,30,1.1,0.4,516
855,8,0,30,0.26,0.75,0.017,0.012,0.02,0.02,0.21,870,30,1.05,0.44,516
845,8,0,30,0.25,1.47,0.027,0.016,0.02,0.01,0,870,30,0.04,0.4,516
855,8,0,30,0.22,0.72,0.016,0.014,0.03,0.01,0,870,30,1.06,0.42,517
855,8,0,30,0.24,0.8,0.015,0.024,0.03,0.1,0.18,870,30,1.02,0.41,517
855,8,0,30,0.22,0.7,0.01,0.004,0.04,0.12,0.17,870,30,0.94,0.4,517
845,8,0,30,0.29,0.54,0.018,0.004,2.64,0.05,0,900,30,0.75,0.32,517
855,8,0,30,0.32,0.81,0.014,0.007,0.03,0.04,0,870,30,1.09,0.42,518
845,8,0,30,0.22,0.56,0.016,0.016,2.63,0.1,0,900,30,0.71,0.31,518
855,8,0,30,0.3,0.7,0.019,0.012,0.02,0.01,0.15,870,30,1.03,0.35,519
825,24,0,30,0.23,0.74,0.018,0.017,0.01,0.02,0,825,30,0.12,0.57,522
855,8,0,30,0.24,0.74,0.022,0.013,0.03,0.02,0,870,30,1.12,0.43,522
845,8,0,30,0.27,0.53,0.018,0.008,2.7,0.07,0,900,30,0.81,0.3,522
825,24,0,30,0.23,0.76,0.018,0.012,0.01,0.01,0,825,30,0.09,0.55,523
855,8,0,30,0.27,0.8,0.015,0.012,0.07,0.12,0.16,870,30,1.07,0.38,523
855,8,0,30,0.25,0.74,0.014,0.028,0.24,0.1,0.18,870,30,0.96,0.4,523
845,8,0,30,0.3,0.49,0.009,0.006,2.66,0.06,0,900,30,0.82,0.33,523
855,8,0,30,0.27,0.71,0.01,0.008,0.02,0.04,0,870,30,0.96,0.42,524
855,8,0,30,0.26,0.78,0.01,0.004,0.04,0.05,0,870,30,0.94,0.42,524
855,8,0,30,0.27,0.79,0.012,0.007,0.03,0.04,0.17,870,30,1.03,0.36,524
855,8,0,30,0.29,0.71,0.019,0.013,0.11,0.12,0.16,870,30,1.05,0.34,524
845,8,0,30,0.25,0.7,0.021,0.02,1.63,0.08,0.17,870,30,0.71,0.4,524
855,8,0,30,0.23,0.81,0.014,0.022,0.05,0.08,0.16,870,30,0.99,0.36,526
855,8,0,30,0.25,0.74,0.013,0.019,0.05,0.08,0.16,870,30,0.99,0.41,527
855,8,0,30,0.25,0.8,0.02,0.017,0.08,0.18,0.19,870,30,0.99,0.35,530
845,8,0,30,0.34,1.36,0.02,0.015,0.07,0.1,0,870,30,0.27,0.41,530
845,8,0,30,0.24,0.58,0.009,0.01,2.65,0.06,0,900,30,0.71,0.32,530
825,24,0,30,0.3,0.83,0.019,0.026,0.02,0.01,0,825,30,0.12,0.53,531
845,8,0,30,0.25,0.73,0.012,0.021,1.69,0.09,0.22,870,30,0.73,0.42,531
845,8,0,30,0.26,0.71,0.016,0.008,1.66,0.12,0.16,870,30,0.72,0.38,531
825,24,0,30,0.3,0.82,0.024,0.022,0.02,0.01,0,825,30,0.1,0.57,533
825,24,0,30,0.26,0.76,0.022,0.021,0.02,0.01,0,825,30,0.12,0.54,534
855,8,0,30,0.25,0.72,0.019,0.011,0.12,0.1,0.17,870,30,1.01,0.34,535
855,8,0,30,0.27,0.69,0.015,0.008,0.04,0.05,0.18,870,30,0.99,0.33,535
855,8,0,30,0.25,0.73,0.011,0.005,0.06,0.11,0,870,30,0.98,0.39,536
855,8,0,30,0.27,0.8,0.015,0.012,0.07,0.12,0.16,870,30,1.07,0.38,536
845,8,0,30,0.34,1.38,0.017,0.01,0.08,0.1,0,870,30,0.26,0.43,536
845,8,0,30,0.26,0.65,0.01,0.009,2.63,0.05,0,900,30,0.84,0.34,536
845,8,0,30,0.22,0.56,0.016,0.016,2.63,0.1,0,900,30,0.71,0.31,537
845,8,0,30,0.27,0.53,0.019,0.009,2.67,0.05,0,900,30,0.87,0.28,537
845,8,0,30,0.16,0.79,0.009,0.016,1.65,0.05,0,870,30,0.73,0.45,537
855,8,0,30,0.27,0.86,0.019,0.008,0.1,0.12,0.17,870,30,0.96,0.39,539
845,8,0,30,0.26,0.54,0.019,0.003,2.78,0.05,0,900,30,0.89,0.35,540
845,8,0,30,0.3,0.52,0.013,0.009,2.67,0.06,0,900,30,0.77,0.32,540
825,24,0,30,0.27,0.7,0.017,0.02,0.06,0.22,0,825,30,0.1,0.54,541
855,8,0,30,0.29,0.76,0.017,0.009,0.12,0.12,0.16,870,30,1.01,0.37,542
845,8,0,30,0.33,0.73,0.011,0.012,1.71,0.08,0.2,870,30,0.74,0.4,542
855,8,0,30,0.26,0.74,0.024,0.017,0.13,0.15,0.17,870,30,1.01,0.4,543
855,8,0,30,0.25,0.87,0.011,0.015,0.07,0.11,0.18,870,30,1.06,0.4,543
845,8,0,30,0.23,0.7,0.011,0.01,1.82,0.09,0.18,870,30,0.78,0.4,543
845,8,0,30,0.29,0.79,0.022,0.009,1.92,0.05,0.24,870,30,0.96,0.4,543
845,8,0,30,0.2,0.7,0.01,0.016,1.66,0.11,0,870,30,0.73,0.48,543
845,8,0,30,0.29,0.69,0.014,0.011,1.8,0.07,0,870,30,0.77,0.49,543
855,8,0,30,0.25,0.71,0.02,0.013,0.02,0.02,0.17,870,30,1.06,0.35,546
845,8,0,30,0.26,0.65,0.01,0.009,2.63,0.05,0,900,30,0.84,0.34,549
855,8,0,30,0.35,0.74,0.016,0.02,0.05,0.12,0.15,870,30,0.97,0.36,550
855,8,0,30,0.25,0.7,0.026,0.018,0.01,0.02,0.16,870,30,1,0.35,550
855,8,0,30,0.26,0.77,0.018,0.005,0.05,0.13,0.17,870,30,0.98,0.4,550
845,8,0,30,0.29,0.74,0.013,0.01,1.84,0.12,0.22,870,30,0.74,0.41,550
845,8,0,30,0.29,0.7,0.012,0.008,1.75,0.07,0.19,870,30,0.74,0.38,550
845,8,0,30,0.26,0.68,0.012,0.018,1.62,0.09,0.17,870,30,0.68,0.43,550
845,8,0,30,0.25,0.74,0.01,0.009,1.74,0.09,0,870,30,0.79,0.44,550
855,8,0,30,0.24,0.77,0.014,0.015,0.04,0.05,0.2,870,30,1.06,0.41,551
855,8,0,30,0.24,0.69,0.018,0.016,0.02,0.02,0.19,870,30,1,0.37,551
845,8,0,30,0.21,1.51,0.026,0.019,0.02,0.01,0,870,30,0.12,0.42,551
845,8,0,30,0.3,1.49,0.014,0.008,0.1,0.1,0,870,30,0.26,0.46,551
845,8,0,30,0.19,0.77,0.01,0.012,1.67,0.07,0.18,870,30,0.72,0.39,551
845,8,0,30,0.28,0.72,0.011,0.007,1.76,0.06,0,870,30,0.79,0.47,551
855,8,0,30,0.3,0.73,0.017,0.016,0.05,0.19,0.16,870,30,1.01,0.36,552
845,8,0,30,0.19,0.76,0.013,0.013,1.67,0.06,0,870,30,0.71,0.47,556
855,8,0,30,0.29,0.71,0.019,0.013,0.11,0.12,0.16,870,30,1.05,0.34,557
855,8,0,30,0.28,0.77,0.021,0.018,0.09,0.15,0.19,870,30,1.08,0.39,557
855,8,0,30,0.32,0.79,0.013,0.011,0.05,0.04,0,870,30,1.09,0.4,562
855,8,0,30,0.23,0.82,0.012,0.017,0.04,0.05,0.16,870,30,1.09,0.37,562
855,8,0,30,0.26,0.77,0.018,0.005,0.05,0.13,0.17,870,30,0.98,0.4,562
855,8,0,30,0.25,0.8,0.02,0.017,0.08,0.18,0.19,870,30,0.99,0.35,563
855,8,0,30,0.22,0.7,0.01,0.004,0.04,0.12,0.17,870,30,0.94,0.4,563
845,8,0,30,0.3,0.49,0.008,0.006,2.66,0.09,0,900,30,0.82,0.32,563
845,8,0,30,0.25,0.71,0.015,0.013,1.76,0.09,0.23,870,30,0.82,0.39,563
855,8,0,30,0.26,0.74,0.019,0.012,0.02,0.02,0.22,870,30,1.07,0.43,564
855,8,0,30,0.26,0.78,0.01,0.004,0.04,0.05,0,870,30,0.94,0.42,565
855,8,0,30,0.25,0.74,0.013,0.019,0.05,0.08,0.16,870,30,0.99,0.41,566
855,8,0,30,0.22,0.72,0.016,0.014,0.03,0.01,0,870,30,1.06,0.42,569
845,8,0,30,0.3,0.49,0.009,0.006,2.66,0.06,0,900,30,0.82,0.33,569
845,8,0,30,0.26,0.68,0.012,0.018,1.62,0.09,0.17,870,30,0.68,0.43,569
855,8,0,30,0.28,0.75,0.015,0.008,0.07,0.12,0.17,870,30,1.04,0.42,570
845,8,0,30,0.29,0.54,0.018,0.004,2.64,0.05,0,900,30,0.75,0.32,570
845,8,0,30,0.3,0.52,0.013,0.009,2.67,0.06,0,900,30,0.77,0.32,570
855,8,0,30,0.3,0.7,0.019,0.012,0.02,0.01,0.15,870,30,1.03,0.35,571
845,8,0,30,0.26,0.71,0.016,0.017,1.8,0.04,0.23,870,30,0.75,0.38,571
855,8,0,30,0.35,0.74,0.016,0.02,0.05,0.12,0.15,870,30,0.97,0.36,572
855,8,0,30,0.29,0.76,0.017,0.009,0.12,0.12,0.16,870,30,1.01,0.37,573
845,8,0,30,0.27,0.53,0.019,0.009,2.67,0.05,0,900,30,0.87,0.28,576
855,8,0,30,0.32,0.81,0.014,0.007,0.03,0.04,0,870,30,1.09,0.42,577
855,8,0,30,0.25,0.74,0.014,0.028,0.24,0.1,0.18,870,30,0.96,0.4,577
855,8,0,30,0.27,0.79,0.012,0.007,0.03,0.04,0.17,870,30,1.03,0.36,578
855,8,0,30,0.26,0.75,0.017,0.012,0.02,0.02,0.21,870,30,1.05,0.44,578
845,8,0,30,0.26,0.54,0.019,0.003,2.78,0.05,0,900,30,0.89,0.35,578
855,8,0,30,0.27,0.86,0.019,0.008,0.1,0.12,0.17,870,30,0.96,0.39,581
855,8,0,30,0.24,0.74,0.022,0.013,0.03,0.02,0,870,30,1.12,0.43,582
855,8,0,30,0.29,0.77,0.015,0.017,0.12,0.09,0.15,870,30,1.1,0.42,582
855,8,0,30,0.31,0.78,0.012,0.01,0.07,0.13,0,870,30,1.1,0.4,583
855,8,0,30,0.25,0.71,0.02,0.013,0.02,0.02,0.17,870,30,1.06,0.35,583
855,8,0,30,0.29,0.77,0.015,0.017,0.12,0.09,0.15,870,30,1.1,0.42,583
845,8,0,30,0.3,0.78,0.016,0.004,1.9,0.04,0.24,870,30,0.86,0.42,583
845,8,0,30,0.29,0.76,0.017,0.01,1.88,0.03,0.24,870,30,0.9,0.37,583
845,8,0,30,0.25,0.7,0.021,0.02,1.63,0.08,0.17,870,30,0.71,0.4,584
855,8,0,30,0.27,0.69,0.015,0.008,0.04,0.05,0.18,870,30,0.99,0.33,585
855,8,0,30,0.26,0.74,0.024,0.017,0.13,0.15,0.17,870,30,1.01,0.4,585
845,8,0,30,0.29,0.69,0.014,0.011,1.8,0.07,0,870,30,0.77,0.49,585
855,8,0,30,0.3,0.73,0.017,0.016,0.05,0.19,0.16,870,30,1.01,0.36,587
845,8,0,30,0.25,0.73,0.012,0.021,1.69,0.09,0.22,870,30,0.73,0.42,588
845,8,0,30,0.26,0.71,0.016,0.008,1.66,0.12,0.16,870,30,0.72,0.38,588
855,8,0,30,0.24,0.8,0.015,0.024,0.03,0.1,0.18,870,30,1.02,0.41,590
845,8,0,30,0.23,0.7,0.011,0.01,1.82,0.09,0.18,870,30,0.78,0.4,590
845,8,0,30,0.19,0.77,0.01,0.012,1.67,0.07,0.18,870,30,0.72,0.39,591
845,8,0,30,0.33,0.73,0.011,0.012,1.71,0.08,0.2,870,30,0.74,0.4,591
855,8,0,30,0.25,0.7,0.026,0.018,0.01,0.02,0.16,870,30,1,0.35,592
855,8,0,30,0.27,0.8,0.015,0.012,0.07,0.12,0.16,870,30,1.07,0.38,592
845,8,0,30,0.16,0.79,0.009,0.016,1.65,0.05,0,870,30,0.73,0.45,596
845,8,0,30,0.28,0.72,0.011,0.007,1.76,0.06,0,870,30,0.79,0.47,600
855,8,0,30,0.25,0.87,0.011,0.015,0.07,0.11,0.18,870,30,1.06,0.4,603
845,8,0,30,0.26,0.71,0.016,0.017,1.8,0.04,0.23,870,30,0.75,0.38,604
845,8,0,30,0.29,0.7,0.012,0.008,1.75,0.07,0.19,870,30,0.74,0.38,604
855,8,0,30,0.24,0.69,0.018,0.016,0.02,0.02,0.19,870,30,1,0.37,606
845,8,0,30,0.29,0.79,0.022,0.009,1.92,0.05,0.24,870,30,0.96,0.4,606
845,8,0,30,0.25,0.74,0.01,0.009,1.74,0.09,0,870,30,0.79,0.44,607
845,8,0,30,0.25,0.71,0.015,0.013,1.76,0.09,0.23,870,30,0.82,0.39,609
855,8,0,30,0.24,0.77,0.014,0.015,0.04,0.05,0.2,870,30,1.06,0.41,610
845,8,0,30,0.19,0.76,0.013,0.013,1.67,0.06,0,870,30,0.71,0.47,615
845,8,0,30,0.2,0.7,0.01,0.016,1.66,0.11,0,870,30,0.73,0.48,618
845,8,0,30,0.3,0.78,0.016,0.004,1.9,0.04,0.24,870,30,0.86,0.42,619
855,8,0,30,0.26,0.74,0.019,0.012,0.02,0.02,0.22,870,30,1.07,0.43,625
855,8,0,30,0.22,0.7,0.01,0.004,0.04,0.12,0.17,870,30,0.94,0.4,625
855,8,0,30,0.26,0.75,0.017,0.012,0.02,0.02,0.21,870,30,1.05,0.44,625
855,8,0,30,0.25,0.74,0.014,0.028,0.24,0.1,0.18,870,30,0.96,0.4,631
855,8,0,30,0.28,0.75,0.015,0.008,0.07,0.12,0.17,870,30,1.04,0.42,634
855,8,0,30,0.24,0.8,0.015,0.024,0.03,0.1,0.18,870,30,1.02,0.41,635
855,8,0,30,0.28,0.77,0.021,0.018,0.09,0.15,0.19,870,30,1.08,0.39,638
845,8,0,30,0.29,0.76,0.017,0.01,1.88,0.03,0.24,870,30,0.9,0.37,643
845,8,0,30,1.99,0.92,0.027,0.01,0.01,0.01,0,845,30,0.15,0.59,678
845,8,0,30,1.5,0.67,0.014,0.011,0.13,0.26,0.05,845,30,0.67,0.53,688
845,8,0,30,1.99,0.92,0.027,0.01,0.01,0.01,0,845,30,0.15,0.59,698
845,8,0,30,1.51,0.68,0.013,0.011,0.13,0.26,0.05,845,30,0.68,0.53,700
845,8,0,30,0.17,0.77,0.026,0.014,0.03,0.02,0.01,845,30,0.81,0.63,707
845,8,0,30,0.29,0.88,0.026,0.007,0.05,0.12,0.03,845,30,0.75,0.62,718
845,8,0,30,1.31,0.75,0.007,0.003,0.04,0.06,0.01,845,30,0.64,0.53,720
845,8,0,30,1.96,0.85,0.019,0.004,0.05,0.12,0,845,30,0.15,0.6,740
845,8,0,30,0.28,0.87,0.019,0.02,0.08,0.2,0.05,845,30,0.87,0.61,745
845,8,0,30,0.29,0.88,0.026,0.007,0.05,0.12,0.03,845,30,0.75,0.62,768
845,8,0,30,2.05,0.86,0.019,0.014,0.16,0.12,0,845,30,0.16,0.61,770
845,8,0,30,1.96,0.85,0.019,0.004,0.05,0.12,0,845,30,0.15,0.6,781
845,8,0,30,0.28,0.87,0.019,0.02,0.08,0.2,0.05,845,30,0.87,0.61,794
845,8,0,30,1.5,0.69,0.013,0.007,0.02,0.01,0,845,30,0.74,0.54,806
845,8,0,30,1.31,0.75,0.004,0.004,0.04,0.06,0.01,845,30,0.63,0.53,829
30,0,70.2,140,0.21,0.77,0.017,0.011,0.12,0.16,0.05,930,930,1.02,0.19,838
30,0,34.8,60,0.3,0.76,0.021,0.006,0.08,0.14,0.03,930,930,1.09,0.21,854
845,8,0,30,0.17,0.77,0.026,0.014,0.03,0.02,0.01,845,30,0.81,0.63,855
30,0,49.8,60,0.25,0.79,0.016,0.015,0.07,0.08,0.15,930,930,1.08,0.18,858
30,0,70.2,60,0.3,0.76,0.021,0.006,0.08,0.14,0.03,930,930,1.09,0.21,873
845,8,0,30,1.49,0.69,0.011,0.007,0.02,0.01,0,845,30,0.74,0.53,874
30,0,70.2,140,0.3,0.76,0.021,0.006,0.08,0.14,0.03,930,930,1.09,0.21,876
30,0,70.2,60,0.25,0.79,0.016,0.015,0.07,0.08,0.15,930,930,1.08,0.18,882
30,0,70.2,60,0.3,0.76,0.021,0.006,0.08,0.14,0.03,930,930,1.09,0.21,884
30,0,34.8,60,0.21,0.77,0.017,0.011,0.12,0.16,0.05,930,930,1.02,0.19,889
30,0,70.2,60,0.21,0.77,0.017,0.011,0.12,0.16,0.05,930,930,1.02,0.19,898
30,0,70.2,60,0.21,0.77,0.017,0.011,0.12,0.16,0.05,930,930,1.02,0.19,900
845,8,0,30,2.05,0.86,0.019,0.014,0.16,0.12,0,845,30,0.16,0.61,906
30,0,34.8,60,0.32,0.77,0.024,0.028,0.46,0.2,0.19,930,930,0.47,0.2,924
30,0,25.2,60,0.32,0.77,0.024,0.028,0.46,0.2,0.19,930,930,0.47,0.2,927
30,0,15,140,0.28,0.55,0.002,0.016,1.64,0.05,0.16,930,930,0.45,0.17,935
30,0,34.8,60,0.29,0.85,0.011,0.011,0.44,0.07,0.16,930,930,0.6,0.23,946
30,0,70.2,60,0.25,0.79,0.016,0.015,0.07,0.08,0.15,930,930,1.08,0.18,948
30,0,34.8,60,0.32,0.77,0.024,0.028,0.46,0.2,0.19,930,930,0.47,0.2,956
30,0,70.2,140,0.25,0.79,0.016,0.015,0.07,0.08,0.15,930,930,1.08,0.18,957
30,0,45,140,0.32,0.77,0.024,0.028,0.46,0.2,0.19,930,930,0.47,0.2,960
30,0,25.2,60,0.29,0.85,0.011,0.011,0.44,0.07,0.16,930,930,0.6,0.23,976
30,0,25.2,60,0.26,0.76,0.009,0.014,0.56,0.12,0.17,930,930,0.62,0.18,986
30,0,15,60,0.28,0.55,0.002,0.016,1.64,0.05,0.16,930,930,0.45,0.17,1002
30,0,49.8,60,0.26,0.65,0.015,0.024,0.02,0.01,0.15,930,930,0.91,0.21,1006
30,0,70.2,60,0.26,0.65,0.015,0.024,0.02,0.01,0.15,930,930,0.91,0.21,1008
30,0,34.8,60,0.29,0.85,0.011,0.011,0.44,0.07,0.16,930,930,0.6,0.23,1009
30,0,70.2,60,0.26,0.65,0.015,0.024,0.02,0.01,0.15,930,930,0.91,0.21,1028
30,0,70.2,140,0.26,0.65,0.015,0.024,0.02,0.01,0.15,930,930,0.91,0.21,1030
30,0,45,140,0.29,0.85,0.011,0.011,0.44,0.07,0.16,930,930,0.6,0.23,1033
30,0,15,60,0.29,0.62,0.015,0.016,1.62,0.07,0.21,930,930,0.59,0.21,1034
30,0,15,60,0.28,0.55,0.002,0.016,1.64,0.05,0.16,930,930,0.45,0.17,1035
30,0,15,60,0.29,0.62,0.015,0.016,1.62,0.07,0.21,930,930,0.59,0.21,1037
30,0,34.8,60,0.26,0.76,0.009,0.014,0.56,0.12,0.17,930,930,0.62,0.18,1053
30,0,15,140,0.29,0.62,0.015,0.016,1.62,0.07,0.21,930,930,0.59,0.21,1054
30,0,15,60,0.29,0.62,0.015,0.016,1.62,0.07,0.21,930,930,0.59,0.21,1056
30,0,70.2,60,0.2,0.8,0.013,0.018,0.04,0.07,0.02,930,930,1.14,0.23,1057
30,0,70.2,140,0.2,0.8,0.013,0.018,0.04,0.07,0.02,930,930,1.14,0.23,1068
30,0,49.8,60,0.31,0.81,0.012,0.019,0.06,0.07,0.17,930,930,1.17,0.21,1074
30,0,45,140,0.26,0.76,0.009,0.014,0.56,0.12,0.17,930,930,0.62,0.18,1080
30,0,70.2,140,0.31,0.81,0.012,0.019,0.06,0.07,0.17,930,930,1.17,0.21,1080
30,0,15,60,0.28,0.55,0.002,0.016,1.64,0.05,0.16,930,930,0.45,0.17,1082
30,0,34.8,60,0.2,0.8,0.013,0.018,0.04,0.07,0.02,930,930,1.14,0.23,1086
30,0,34.8,60,0.26,0.76,0.009,0.014,0.56,0.12,0.17,930,930,0.62,0.18,1089
30,0,70.2,60,0.31,0.81,0.012,0.019,0.06,0.07,0.17,930,930,1.17,0.21,1104
30,0,15,60,0.35,0.51,0.008,0.012,1.69,0.11,0.18,930,930,0.55,0.23,1110
30,0,70.2,60,0.2,0.8,0.013,0.018,0.04,0.07,0.02,930,930,1.14,0.23,1120
30,0,15,60,0.35,0.51,0.008,0.012,1.69,0.11,0.18,930,930,0.55,0.23,1124
30,0,15,60,0.35,0.51,0.008,0.012,1.69,0.11,0.18,930,930,0.55,0.23,1139
30,0,70.2,60,0.31,0.81,0.012,0.019,0.06,0.07,0.17,930,930,1.17,0.21,1144
30,0,15,140,0.35,0.51,0.008,0.012,1.69,0.11,0.18,930,930,0.55,0.23,1190